Student_ID,First_Name,Last_Name,Math,Physics,Chemistry,Biology,English,History,Attendance,Birth_Date
304,Khaled,Ibrahim,40.0,24.0,38.0,74.0,58.0,50.0,79.0,2004-03-20
276,Ahmed,Hassan,57.0,99.0,76.0,79.0,68.0,38.0,80.0,2005-11-21
381,Ahmed,Tarek,87.0,63.0,71.0,99.0,97.0,96.0,53.0,2004-11-05
576,Youssef,Unknown,0.0,95.0,21.0,95.0,91.0,42.0,54.0,2004-08-23
52,Ahmed,Mahmoud,29.0,62.0,14.0,86.0,27.0,71.0,83.0,2001-07-01
997,Nour,Salem,14.0,45.0,91.0,38.0,79.0,40.0,50.0,2001-11-23
529,Nour,Tarek,29.0,7.0,34.0,51.0,71.0,97.0,53.0,2004-11-29
989,Laila,Fathy,29.0,87.0,19.0,58.0,51.0,100.0,61.0,2002-05-17
1196,Hassan,Tarek,15.0,29.0,2.0,74.0,77.0,1.0,75.0,2004-02-22
353,Omar,Fathy,94.0,14.0,9.0,56.0,33.0,5.0,73.0,2005-05-14
1125,Ahmed,Hegazy,10.0,29.0,4.0,66.0,18.0,19.0,81.0,2002-12-29
849,Fatma,Ibrahim,36.0,21.0,74.0,23.0,0.0,18.0,54.0,2004-02-23
24,Mona,Hassan,0.0,39.0,11.0,30.0,79.0,75.0,70.0,2001-06-12
211,Omar,Said,40.0,79.0,56.0,51.0,46.0,7.0,97.0,2003-01-01
382,Fatma,Fathy,97.0,4.0,50.0,64.0,36.0,23.0,62.0,2003-07-25
984,Omar,Mostafa,0.0,0.0,61.0,11.0,37.0,81.0,95.0,2004-06-19
651,Ahmed,Tarek,10.0,46.0,45.0,0.0,70.0,52.0,81.0,2003-04-20
406,Youssef,Fathy,47.0,0.0,78.0,62.0,18.0,89.0,53.0,2003-03-23
359,Mona,Mahmoud,96.0,87.0,17.0,29.0,71.0,0.0,83.0,2002-12-30
1128,Omar,Tarek,8.0,78.0,48.0,70.0,54.0,87.0,90.0,2005-07-07
59,Mona,Hegazy,48.0,19.0,11.0,21.0,61.0,76.0,78.0,2005-05-17
799,Youssef,Mahmoud,63.0,49.0,81.0,0.0,25.0,44.0,83.0,2005-06-04
199,Sara,Said,68.0,51.0,7.0,61.0,20.0,56.0,54.0,2002-12-15
580,Ahmed,Ali,27.0,80.0,36.0,5.0,20.0,65.0,52.0,2002-07-02
559,Hassan,Hegazy,75.0,22.0,0.0,31.0,80.0,32.0,60.0,2003-03-19
760,Nour,Hegazy,27.0,76.0,90.0,76.0,78.0,15.0,85.0,2004-07-04
50,Fatma,Ibrahim,23.0,14.0,14.0,8.0,31.0,58.0,74.0,2002-12-25
175,Fatma,Ibrahim,67.0,81.0,99.0,33.0,41.0,91.0,65.0,2001-04-01
848,Laila,Salem,68.0,79.0,9.0,19.0,98.0,54.0,65.0,2003-03-15
378,Sara,Ibrahim,46.0,71.0,58.0,51.0,12.0,40.0,66.0,2001-09-16
197,Khaled,Tarek,20.0,52.0,50.0,13.0,90.0,0.0,66.0,2003-01-26
232,Ahmed,Hassan,69.0,31.0,9.0,76.0,45.0,47.0,98.0,2005-10-20
1121,Unknown,Mostafa,43.0,91.0,25.0,96.0,47.0,81.0,50.0,2001-01-29
412,Hassan,Mahmoud,14.0,57.0,94.0,0.0,66.0,41.0,60.0,2002-11-20
768,Unknown,Ibrahim,31.0,30.0,91.0,77.0,55.0,22.0,57.0,2003-08-23
623,Ahmed,Said,61.0,47.0,91.0,82.0,16.0,42.0,80.0,2001-05-24
946,Youssef,Mostafa,80.0,43.0,13.0,66.0,33.0,53.0,78.0,2001-10-31
241,Omar,Hegazy,56.0,49.0,0.0,82.0,14.0,16.0,81.0,2001-10-15
865,Khaled,Hassan,43.0,72.0,47.0,93.0,92.0,19.0,53.0,2004-06-30
550,Khaled,Said,97.0,42.0,97.0,56.0,66.0,37.0,72.0,2004-06-01
416,Khaled,Ali,83.0,30.0,41.0,61.0,86.0,4.0,86.0,2005-04-02
719,Khaled,Hegazy,1.0,17.0,0.0,13.0,77.0,2.0,82.0,2005-11-30
821,Nour,Hegazy,63.0,74.0,25.0,1.0,37.0,84.0,70.0,2001-10-29
988,Khaled,Ibrahim,70.0,53.0,57.0,99.0,49.0,78.0,74.0,2004-12-13
1181,Youssef,Hegazy,27.0,98.0,12.0,87.0,67.0,84.0,91.0,2001-10-09
972,Ahmed,Unknown,20.0,24.0,28.0,91.0,18.0,89.0,52.0,2001-02-26
733,Omar,Ali,44.0,21.0,57.0,90.0,13.0,50.0,74.0,2002-07-28
840,Fatma,Fathy,28.0,59.0,64.0,49.0,60.0,0.0,56.0,2004-12-27
803,Mona,Salem,0.0,96.0,21.0,0.0,55.0,14.0,91.0,2003-04-17
1075,Mona,Hassan,71.0,58.0,0.0,64.0,64.0,87.0,65.0,2004-11-07
479,Khaled,Said,21.0,3.0,39.0,78.0,9.0,47.0,76.0,2002-04-10
45,Nour,Unknown,100.0,17.0,71.0,3.0,10.0,45.0,63.0,2003-07-27
980,Khaled,Ibrahim,29.0,71.0,79.0,72.0,90.0,85.0,82.0,2005-11-15
30,Laila,Hegazy,73.0,86.0,98.0,0.0,13.0,1.0,100.0,2003-09-03
32,Omar,Ali,45.0,64.0,97.0,49.0,25.0,25.0,66.0,2003-09-30
738,Fatma,Ibrahim,61.0,18.0,14.0,64.0,27.0,18.0,75.0,2002-05-12
355,Nour,Hassan,26.0,78.0,58.0,0.0,92.0,44.0,53.0,2004-03-02
426,Nour,Said,72.0,64.0,61.0,0.0,54.0,78.0,96.0,2001-01-29
169,Youssef,Unknown,99.0,100.0,29.0,40.0,0.0,17.0,53.0,2005-02-25
87,Omar,Salem,69.0,100.0,27.0,56.0,34.0,12.0,93.0,2002-04-21
295,Ahmed,Hassan,18.0,37.0,61.0,61.0,46.0,47.0,88.0,2003-05-06
428,Khaled,Mahmoud,0.0,53.0,94.0,4.0,66.0,80.0,79.0,2004-05-08
747,Nour,Fathy,53.0,49.0,85.0,61.0,74.0,68.0,51.0,2005-05-21
156,Khaled,Tarek,91.0,23.0,52.0,98.0,94.0,66.0,70.0,2002-12-28
221,Ahmed,Unknown,60.0,26.0,99.0,90.0,23.0,49.0,93.0,2003-09-12
124,Youssef,Mahmoud,4.0,9.0,50.0,99.0,44.0,61.0,59.0,2004-04-20
219,Sara,Hassan,23.0,7.0,62.0,43.0,75.0,31.0,69.0,2002-07-27
439,Laila,Salem,62.0,46.0,49.0,0.0,100.0,29.0,86.0,2004-07-23
210,Unknown,Ibrahim,60.0,97.0,57.0,74.0,41.0,53.0,54.0,2001-01-29
234,Ahmed,Mahmoud,97.0,84.0,5.0,25.0,11.0,87.0,85.0,2002-04-17
1051,Ahmed,Said,92.0,38.0,33.0,13.0,46.0,83.0,54.0,2005-07-20
716,Nour,Mostafa,83.0,0.0,57.0,59.0,8.0,38.0,84.0,2004-02-24
129,Youssef,Salem,38.0,58.0,48.0,65.0,35.0,51.0,91.0,2001-07-11
571,Sara,Hegazy,50.0,62.0,71.0,20.0,38.0,96.0,74.0,2002-08-07
915,Hassan,Hassan,47.0,44.0,89.0,44.0,94.0,93.0,100.0,2003-05-13
932,Omar,Tarek,52.0,11.0,57.0,8.0,75.0,57.0,66.0,2001-07-25
71,Fatma,Hassan,47.0,82.0,66.0,12.0,13.0,82.0,61.0,2002-02-06
1002,Fatma,Unknown,59.0,0.0,97.0,75.0,9.0,0.0,98.0,2002-04-01
114,Omar,Mahmoud,25.0,95.0,67.0,70.0,63.0,14.0,51.0,2002-05-27
297,Khaled,Said,50.0,8.0,18.0,70.0,0.0,42.0,79.0,2003-11-09
706,Sara,Mostafa,74.0,36.0,94.0,17.0,17.0,28.0,58.0,2004-10-22
108,Fatma,Salem,80.0,66.0,22.0,92.0,43.0,1.0,63.0,2004-01-27
1114,Hassan,Mahmoud,0.0,82.0,82.0,33.0,49.0,13.0,68.0,2001-05-01
1000,Hassan,Mostafa,7.0,57.0,7.0,54.0,12.0,42.0,96.0,2001-08-16
655,Ahmed,Ibrahim,45.0,59.0,74.0,67.0,43.0,42.0,97.0,2001-06-19
1161,Hassan,Mostafa,100.0,0.0,16.0,32.0,28.0,92.0,89.0,2001-11-24
209,Nour,Hassan,11.0,74.0,68.0,46.0,56.0,76.0,59.0,2001-04-08
1007,Khaled,Said,65.0,69.0,8.0,51.0,20.0,0.0,75.0,2002-04-16
1138,Unknown,Hassan,82.0,0.0,17.0,55.0,76.0,8.0,0.0,2001-07-23
244,Fatma,Mostafa,97.0,53.0,86.0,57.0,79.0,51.0,91.0,2002-11-06
1101,Youssef,Tarek,0.0,6.0,39.0,45.0,98.0,68.0,72.0,2002-08-25
1118,Youssef,Hegazy,40.0,77.0,15.0,86.0,66.0,3.0,54.0,2001-08-11
606,Hassan,Ibrahim,7.0,46.0,44.0,72.0,93.0,73.0,87.0,2001-05-04
679,Ahmed,Hassan,48.0,89.0,60.0,97.0,69.0,95.0,84.0,2002-11-18
425,Nour,Salem,69.0,0.0,70.0,58.0,3.0,0.0,71.0,2005-03-17
468,Sara,Salem,34.0,33.0,76.0,92.0,85.0,40.0,85.0,2005-04-18
507,Omar,Salem,51.0,35.0,54.0,69.0,87.0,12.0,76.0,2002-08-24
478,Hassan,Hassan,86.0,17.0,100.0,31.0,91.0,84.0,81.0,2002-07-20
286,Fatma,Mahmoud,41.0,47.0,41.0,75.0,94.0,63.0,62.0,2003-09-11
55,Fatma,Mahmoud,30.0,80.0,82.0,33.0,99.0,91.0,58.0,2001-11-21
542,Youssef,Hassan,43.0,29.0,0.0,23.0,45.0,77.0,77.0,2001-01-13
740,Fatma,Fathy,94.0,69.0,0.0,28.0,86.0,47.0,81.0,2001-09-24
57,Sara,Tarek,59.0,8.0,50.0,73.0,83.0,3.0,69.0,2005-06-11
110,Omar,Hassan,18.0,2.0,3.0,79.0,15.0,24.0,97.0,2004-11-12
672,Ahmed,Salem,24.0,16.0,63.0,4.0,37.0,25.0,87.0,2003-10-30
629,Mona,Hegazy,38.0,84.0,47.0,99.0,0.0,19.0,86.0,2005-11-26
299,Omar,Mahmoud,11.0,55.0,68.0,45.0,2.0,84.0,91.0,2003-02-12
1031,Fatma,Mahmoud,65.0,85.0,86.0,17.0,80.0,89.0,55.0,2003-08-30
962,Ahmed,Hassan,95.0,86.0,17.0,32.0,26.0,87.0,74.0,2003-12-21
671,Omar,Said,7.0,42.0,81.0,29.0,53.0,38.0,76.0,2005-04-01
260,Sara,Ali,63.0,27.0,41.0,29.0,41.0,65.0,68.0,2005-12-03
597,Sara,Mahmoud,85.0,75.0,1.0,72.0,52.0,59.0,58.0,2001-04-28
345,Ahmed,Ibrahim,0.0,88.0,26.0,64.0,0.0,19.0,74.0,2003-01-29
755,Khaled,Hegazy,59.0,57.0,37.0,10.0,77.0,25.0,91.0,2001-12-24
827,Sara,Ali,14.0,65.0,23.0,60.0,0.0,28.0,0.0,2004-01-12
291,Khaled,Mahmoud,22.0,71.0,0.0,77.0,22.0,20.0,56.0,2003-08-23
1119,Fatma,Mahmoud,5.0,34.0,22.0,95.0,64.0,78.0,72.0,2002-12-10
1030,Omar,Ibrahim,15.0,56.0,54.0,22.0,14.0,89.0,59.0,2002-12-26
1113,Ahmed,Salem,80.0,28.0,32.0,51.0,59.0,77.0,88.0,2003-12-16
520,Hassan,Hegazy,7.0,61.0,52.0,9.0,59.0,29.0,73.0,2002-04-07
789,Unknown,Hassan,59.0,45.0,51.0,24.0,3.0,72.0,59.0,2001-04-24
742,Fatma,Fathy,22.0,56.0,28.0,49.0,34.0,96.0,67.0,2001-05-09
875,Ahmed,Ibrahim,10.0,50.0,76.0,45.0,85.0,8.0,72.0,2002-12-01
1080,Youssef,Mostafa,13.0,60.0,45.0,21.0,4.0,90.0,59.0,2003-02-01
977,Laila,Salem,0.0,0.0,56.0,89.0,83.0,14.0,94.0,2005-11-04
814,Laila,Ibrahim,66.0,3.0,45.0,31.0,43.0,2.0,57.0,2001-08-14
171,Unknown,Tarek,83.0,88.0,17.0,28.0,49.0,58.0,82.0,2005-05-04
287,Sara,Ali,0.0,39.0,58.0,14.0,48.0,94.0,86.0,2004-09-20
981,Laila,Salem,0.0,0.0,74.0,49.0,56.0,85.0,97.0,2001-04-29
584,Mona,Mostafa,0.0,31.0,9.0,51.0,84.0,11.0,91.0,2001-09-05
1145,Omar,Salem,16.0,56.0,25.0,78.0,80.0,56.0,57.0,2004-02-28
919,Khaled,Hassan,54.0,37.0,59.0,62.0,95.0,100.0,95.0,2005-07-15
940,Youssef,Ibrahim,6.0,31.0,81.0,42.0,0.0,0.0,61.0,2003-07-01
808,Hassan,Hassan,3.0,46.0,64.0,87.0,88.0,74.0,70.0,2002-01-13
562,Mona,Fathy,45.0,17.0,90.0,8.0,90.0,9.0,62.0,2004-09-15
1168,Fatma,Mostafa,24.0,7.0,5.0,86.0,20.0,85.0,98.0,2001-09-26
1019,Ahmed,Mahmoud,71.0,19.0,25.0,0.0,91.0,33.0,72.0,2001-04-06
882,Mona,Mostafa,23.0,77.0,0.0,45.0,72.0,31.0,98.0,2002-12-07
310,Ahmed,Said,8.0,19.0,68.0,53.0,16.0,71.0,95.0,2001-04-14
366,Ahmed,Ibrahim,98.0,17.0,48.0,25.0,66.0,43.0,98.0,2002-12-22
614,Laila,Salem,34.0,24.0,25.0,57.0,22.0,43.0,52.0,2005-10-02
410,Khaled,Said,10.0,72.0,6.0,20.0,77.0,91.0,56.0,2005-11-09
11,Laila,Hegazy,74.0,87.0,60.0,0.0,37.0,20.0,0.0,2002-03-10
615,Nour,Hegazy,47.0,73.0,6.0,87.0,34.0,0.0,63.0,2004-05-22
1164,Omar,Hassan,10.0,49.0,57.0,0.0,59.0,43.0,54.0,2003-12-25
889,Sara,Mahmoud,16.0,83.0,68.0,51.0,21.0,99.0,86.0,2005-10-11
329,Ahmed,Unknown,0.0,86.0,29.0,0.0,86.0,100.0,79.0,2003-03-14
343,Laila,Mostafa,45.0,2.0,34.0,9.0,14.0,49.0,60.0,2001-04-30
248,Fatma,Mostafa,85.0,10.0,0.0,0.0,26.0,82.0,66.0,2005-11-26
1090,Sara,Hassan,0.0,52.0,72.0,50.0,84.0,3.0,71.0,2001-04-08
465,Nour,Hegazy,99.0,48.0,73.0,67.0,1.0,65.0,76.0,2005-06-23
635,Nour,Ali,8.0,63.0,53.0,92.0,0.0,35.0,0.0,2004-10-13
866,Mona,Hegazy,10.0,9.0,78.0,50.0,86.0,39.0,70.0,2002-12-26
328,Fatma,Mahmoud,0.0,33.0,16.0,88.0,0.0,37.0,55.0,2001-12-19
290,Ahmed,Hegazy,51.0,75.0,16.0,22.0,54.0,17.0,89.0,2004-06-14
815,Mona,Hegazy,74.0,18.0,54.0,2.0,88.0,61.0,66.0,2002-09-24
669,Nour,Mostafa,91.0,11.0,50.0,40.0,87.0,23.0,85.0,2003-06-15
573,Laila,Ibrahim,19.0,10.0,48.0,94.0,93.0,40.0,69.0,2003-08-22
949,Mona,Mostafa,0.0,26.0,4.0,18.0,19.0,47.0,63.0,2004-12-29
136,Nour,Tarek,40.0,40.0,67.0,40.0,100.0,73.0,70.0,2001-06-21
347,Omar,Hassan,20.0,48.0,0.0,56.0,91.0,84.0,74.0,2005-11-09
1079,Ahmed,Ali,31.0,0.0,51.0,48.0,76.0,65.0,72.0,2004-07-18
1173,Ahmed,Hassan,82.0,42.0,13.0,11.0,100.0,79.0,84.0,2005-04-27
375,Youssef,Salem,43.0,9.0,35.0,26.0,95.0,36.0,64.0,2002-11-19
421,Laila,Fathy,39.0,54.0,78.0,13.0,0.0,48.0,68.0,2001-04-10
383,Unknown,Fathy,85.0,52.0,34.0,17.0,47.0,43.0,53.0,2004-10-06
164,Laila,Mahmoud,76.0,58.0,78.0,16.0,16.0,86.0,98.0,2004-12-13
159,Nour,Mostafa,79.0,90.0,22.0,74.0,73.0,45.0,99.0,2003-11-24
141,Nour,Salem,56.0,3.0,35.0,53.0,80.0,80.0,53.0,2004-01-17
585,Khaled,Mostafa,66.0,85.0,78.0,82.0,45.0,1.0,83.0,2002-05-02
1174,Sara,Salem,82.0,26.0,21.0,64.0,1.0,64.0,55.0,2002-06-28
1078,Youssef,Hegazy,19.0,6.0,99.0,45.0,4.0,1.0,52.0,2005-06-18
874,Ahmed,Mostafa,97.0,64.0,27.0,11.0,41.0,40.0,78.0,2003-06-22
1092,Mona,Mostafa,86.0,79.0,24.0,32.0,59.0,35.0,0.0,2001-06-08
709,Sara,Hassan,13.0,28.0,54.0,0.0,9.0,62.0,91.0,2002-07-29
307,Laila,Ali,84.0,23.0,44.0,61.0,36.0,50.0,56.0,2005-01-07
66,Nour,Salem,57.0,72.0,86.0,75.0,96.0,23.0,93.0,2005-01-11
891,Sara,Tarek,35.0,20.0,21.0,30.0,48.0,55.0,86.0,2002-08-23
765,Nour,Mahmoud,22.0,67.0,50.0,36.0,0.0,97.0,99.0,2002-01-25
553,Fatma,Said,64.0,68.0,24.0,70.0,46.0,6.0,54.0,2001-07-30
495,Khaled,Ali,46.0,34.0,35.0,27.0,97.0,79.0,95.0,2004-07-04
245,Mona,Said,15.0,71.0,19.0,27.0,14.0,92.0,51.0,2003-07-04
781,Youssef,Hassan,55.0,1.0,0.0,29.0,32.0,62.0,84.0,2004-07-10
97,Hassan,Said,8.0,38.0,16.0,60.0,53.0,13.0,62.0,2003-04-10
185,Omar,Salem,19.0,84.0,68.0,62.0,68.0,65.0,94.0,2003-06-04
1189,Youssef,Said,0.0,47.0,24.0,1.0,36.0,18.0,50.0,2005-01-04
546,Sara,Hegazy,8.0,92.0,62.0,93.0,75.0,2.0,76.0,2002-02-10
480,Hassan,Hassan,47.0,16.0,47.0,12.0,85.0,48.0,82.0,2002-05-22
395,Nour,Tarek,34.0,0.0,75.0,23.0,33.0,70.0,76.0,2005-08-27
222,Hassan,Hegazy,97.0,61.0,49.0,84.0,19.0,26.0,86.0,2002-10-12
431,Laila,Salem,62.0,78.0,44.0,22.0,79.0,24.0,78.0,2002-03-27
33,Khaled,Salem,3.0,94.0,97.0,68.0,69.0,0.0,100.0,2003-11-29
157,Unknown,Salem,13.0,57.0,83.0,0.0,53.0,33.0,71.0,2005-10-16
377,Laila,Ibrahim,65.0,51.0,37.0,63.0,3.0,12.0,83.0,2003-07-29
621,Laila,Salem,48.0,77.0,68.0,20.0,4.0,22.0,52.0,2002-10-02
515,Unknown,Hegazy,93.0,39.0,0.0,78.0,11.0,5.0,73.0,2004-09-28
967,Mona,Mahmoud,66.0,34.0,77.0,6.0,93.0,88.0,50.0,2004-05-17
200,Mona,Hassan,2.0,29.0,64.0,93.0,30.0,29.0,65.0,2004-05-14
271,Unknown,Fathy,85.0,12.0,84.0,2.0,66.0,70.0,57.0,2005-08-06
568,Omar,Ali,92.0,73.0,0.0,2.0,24.0,15.0,99.0,2002-10-13
494,Youssef,Mahmoud,18.0,99.0,16.0,51.0,59.0,77.0,65.0,2005-02-27
487,Ahmed,Said,27.0,18.0,76.0,85.0,63.0,32.0,93.0,2001-04-05
731,Khaled,Salem,64.0,92.0,19.0,36.0,45.0,56.0,68.0,2005-07-08
1178,Fatma,Hegazy,16.0,27.0,70.0,8.0,41.0,52.0,96.0,2001-03-21
298,Mona,Tarek,10.0,15.0,16.0,14.0,27.0,52.0,67.0,2005-05-04
1158,Khaled,Fathy,84.0,42.0,71.0,53.0,25.0,95.0,90.0,2002-05-25
589,Mona,Hassan,33.0,64.0,81.0,84.0,84.0,0.0,62.0,2001-10-20
1042,Omar,Ali,30.0,25.0,81.0,82.0,87.0,8.0,75.0,2005-07-28
616,Fatma,Fathy,83.0,77.0,41.0,12.0,94.0,58.0,51.0,2004-01-15
574,Fatma,Mahmoud,28.0,42.0,51.0,51.0,20.0,14.0,88.0,2001-11-28
911,Ahmed,Ali,69.0,55.0,46.0,0.0,73.0,43.0,80.0,2005-08-27
179,Sara,Fathy,6.0,95.0,43.0,57.0,56.0,79.0,51.0,2004-11-13
954,Nour,Ibrahim,66.0,96.0,80.0,85.0,32.0,18.0,57.0,2005-05-07
953,Fatma,Ibrahim,37.0,42.0,42.0,53.0,86.0,62.0,51.0,2002-09-11
644,Sara,Fathy,58.0,17.0,57.0,69.0,40.0,5.0,88.0,2005-01-29
372,Mona,Hassan,5.0,63.0,94.0,8.0,89.0,8.0,93.0,2002-03-13
850,Mona,Hegazy,48.0,56.0,81.0,63.0,21.0,61.0,74.0,2004-06-21
89,Fatma,Fathy,19.0,82.0,79.0,73.0,96.0,65.0,98.0,2004-06-10
662,Mona,Salem,71.0,26.0,27.0,82.0,31.0,24.0,88.0,2004-08-19
332,Youssef,Hassan,31.0,0.0,98.0,60.0,0.0,28.0,97.0,2002-11-26
926,Unknown,Mahmoud,14.0,67.0,1.0,65.0,63.0,0.0,64.0,2002-05-10
610,Fatma,Hegazy,92.0,29.0,90.0,58.0,28.0,23.0,78.0,2002-10-21
971,Nour,Hassan,63.0,69.0,0.0,77.0,50.0,38.0,89.0,2002-06-13
627,Laila,Ali,96.0,74.0,95.0,27.0,19.0,40.0,93.0,2005-04-13
1193,Khaled,Mostafa,99.0,38.0,57.0,88.0,17.0,36.0,97.0,2001-12-17
267,Ahmed,Tarek,85.0,48.0,83.0,80.0,40.0,50.0,88.0,2003-11-11
60,Nour,Ali,62.0,0.0,3.0,69.0,26.0,83.0,74.0,2004-09-05
600,Ahmed,Hegazy,16.0,96.0,40.0,97.0,0.0,4.0,0.0,2004-11-30
773,Ahmed,Hassan,38.0,30.0,4.0,31.0,90.0,56.0,60.0,2005-11-14
723,Ahmed,Mahmoud,0.0,29.0,96.0,1.0,18.0,70.0,94.0,2002-01-29
987,Nour,Ibrahim,25.0,38.0,81.0,68.0,70.0,46.0,93.0,2002-06-01
491,Ahmed,Ibrahim,77.0,34.0,0.0,26.0,39.0,52.0,97.0,2002-06-13
1044,Hassan,Ali,38.0,42.0,68.0,88.0,62.0,22.0,66.0,2003-01-18
482,Nour,Fathy,0.0,77.0,34.0,18.0,96.0,55.0,0.0,2004-10-28
333,Nour,Tarek,47.0,0.0,22.0,14.0,1.0,78.0,96.0,2003-11-04
313,Hassan,Fathy,47.0,82.0,67.0,82.0,25.0,87.0,74.0,2004-12-08
722,Fatma,Mahmoud,2.0,99.0,7.0,14.0,36.0,95.0,95.0,2004-02-13
712,Unknown,Fathy,72.0,69.0,53.0,72.0,85.0,13.0,66.0,2005-06-27
1067,Ahmed,Ali,80.0,63.0,57.0,40.0,22.0,0.0,57.0,2005-05-23
84,Ahmed,Hegazy,44.0,61.0,44.0,19.0,14.0,15.0,76.0,2002-01-26
130,Youssef,Unknown,34.0,30.0,89.0,65.0,12.0,31.0,50.0,2003-06-21
904,Sara,Fathy,4.0,44.0,40.0,36.0,6.0,72.0,72.0,2005-05-02
539,Nour,Tarek,19.0,56.0,71.0,39.0,91.0,64.0,78.0,2004-06-29
999,Sara,Fathy,12.0,64.0,36.0,67.0,21.0,46.0,67.0,2005-01-12
677,Laila,Ali,46.0,7.0,33.0,51.0,0.0,15.0,84.0,2002-06-17
261,Sara,Fathy,31.0,65.0,20.0,0.0,3.0,72.0,76.0,2002-02-25
586,Mona,Mostafa,85.0,69.0,41.0,0.0,8.0,16.0,54.0,2001-07-17
